source_entity_ref,event_type,version,trigger,timestamp,metadata_json
agent://prior-authorization-agent,config_change,v3.5.0,Prompt optimization,2026-06-08T21:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://prior-authorization-agent,deployed,v4.2.0,New training data,2026-07-11T04:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://prior-authorization-agent,config_change,v5.4.0,Manual request,2026-07-21T04:00:00Z,"{""status"": ""Production"", ""champion_challenger"": ""Champion""}"
agent://clinical-trial-matching-agent,config_change,v1.3.0,Prompt optimization,2026-05-23T01:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://clinical-trial-matching-agent,deployed,v2.3.0,Prompt optimization,2026-06-03T00:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://clinical-trial-matching-agent,config_change,v3.5.0,Performance degradation,2026-07-08T03:00:00Z,"{""status"": ""Production"", ""champion_challenger"": ""Champion""}"
agent://radiology-copilot,config_change,v1.5.0,New training data,2026-05-09T00:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://radiology-copilot,deployed,v2.0.0,Prompt optimization,2026-05-29T04:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://radiology-copilot,config_change,v3.2.0,Drift threshold exceeded,2026-06-11T23:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://radiology-copilot,deployed,v4.3.0,Manual request,2026-07-07T23:00:00Z,"{""status"": ""Retired"", ""champion_challenger"": ""Retired""}"
agent://radiology-copilot,deployed,v5.0.0,Prompt optimization,2026-07-20T05:00:00Z,"{""status"": ""Production"", ""champion_challenger"": ""Champion""}"
