source_entity_ref,cohort_name,cohort_dim,metric_name,value,sample_size,timestamp
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9435,4881,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.8744,4701,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.9347,2533,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9692,4041,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9244,1047,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.8996,4914,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9424,3078,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9269,2295,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.95,808,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9242,560,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8979,3052,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9762,443,2026-06-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9443,2451,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.8722,4094,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8788,1040,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9457,4855,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.8808,1823,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9535,2068,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9315,4389,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9175,3242,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9189,3316,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.8996,4879,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8576,4582,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.928,104,2026-06-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.959,2019,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9304,3009,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8616,624,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9246,4405,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.8956,3801,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9494,4087,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9032,3098,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9593,3075,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9641,3340,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9133,4114,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.9156,4790,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.8649,1656,2026-06-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9175,4467,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.8882,686,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.9279,840,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.8894,4096,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.8707,2765,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9213,3294,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.8811,2217,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9462,4734,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.8849,4277,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9178,856,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8898,2126,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9533,3009,2026-07-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9374,2383,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9278,2479,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8945,327,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9001,2073,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9447,3528,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9348,4962,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9674,2184,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.8461,2239,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.8774,4839,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9295,4674,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.9366,1838,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.8816,1944,2026-07-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9354,4521,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.8885,4733,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8657,2818,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.8981,4920,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9238,1698,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9188,327,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9361,3886,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.8566,4042,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9214,1127,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.899,722,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8959,4543,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9438,590,2026-07-13T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9359,1365,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.923,4760,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8838,2378,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9422,1086,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9255,4371,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9283,4819,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.8945,3223,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9232,3112,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9101,417,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.8718,4872,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.9118,4120,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.8564,1671,2026-07-19T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9183,3171,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.8907,4035,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.9326,4375,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9005,3531,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.942,1114,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.96,4437,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.8962,2104,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9518,959,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.8987,2554,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9371,1885,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8961,2536,2026-07-25T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9646,1549,2026-07-25T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,18-30,age_group,accuracy,0.9028,1560,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,31-45,age_group,accuracy,0.8975,2217,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,46-60,age_group,accuracy,0.9632,1292,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,61-75,age_group,accuracy,0.9306,564,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,75+,age_group,accuracy,0.8428,3046,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Female,sex,accuracy,0.9108,2675,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Male,sex,accuracy,0.863,3828,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Other,sex,accuracy,0.9238,4596,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Commercial,insurance,accuracy,0.8319,3147,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicare,insurance,accuracy,0.9403,3270,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicaid,insurance,accuracy,0.8796,4301,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Self-pay,insurance,accuracy,0.8693,4419,2026-05-02T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,18-30,age_group,accuracy,0.8467,4711,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,31-45,age_group,accuracy,0.9374,1724,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,46-60,age_group,accuracy,0.8847,4253,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,61-75,age_group,accuracy,0.8817,754,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,75+,age_group,accuracy,0.8962,3723,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Female,sex,accuracy,0.8753,1590,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Male,sex,accuracy,0.8859,4507,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Other,sex,accuracy,0.8492,3646,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Commercial,insurance,accuracy,0.8968,1488,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicare,insurance,accuracy,0.9024,292,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicaid,insurance,accuracy,0.8628,4836,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Self-pay,insurance,accuracy,0.9317,2303,2026-05-08T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,18-30,age_group,accuracy,0.8374,1801,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,31-45,age_group,accuracy,0.8634,617,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,46-60,age_group,accuracy,0.8578,4441,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,61-75,age_group,accuracy,0.8915,1561,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,75+,age_group,accuracy,0.8682,3722,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Female,sex,accuracy,0.9022,3897,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Male,sex,accuracy,0.8605,4570,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Other,sex,accuracy,0.9297,213,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Commercial,insurance,accuracy,0.9069,839,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicare,insurance,accuracy,0.8816,4569,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicaid,insurance,accuracy,0.8721,987,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Self-pay,insurance,accuracy,0.9095,4060,2026-05-14T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,18-30,age_group,accuracy,0.8369,2046,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,31-45,age_group,accuracy,0.882,839,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,46-60,age_group,accuracy,0.8617,2422,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,61-75,age_group,accuracy,0.8128,1753,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,75+,age_group,accuracy,0.8144,2886,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Female,sex,accuracy,0.8776,596,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Male,sex,accuracy,0.9248,3863,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Other,sex,accuracy,0.8256,3609,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Commercial,insurance,accuracy,0.92,4127,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicare,insurance,accuracy,0.8802,4335,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicaid,insurance,accuracy,0.8723,1731,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Self-pay,insurance,accuracy,0.8187,3423,2026-05-20T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,18-30,age_group,accuracy,0.8254,2178,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,31-45,age_group,accuracy,0.9064,4030,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,46-60,age_group,accuracy,0.9032,3136,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,61-75,age_group,accuracy,0.8295,3388,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,75+,age_group,accuracy,0.8741,3513,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Female,sex,accuracy,0.8584,577,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Male,sex,accuracy,0.9078,1283,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Other,sex,accuracy,0.8788,3783,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Commercial,insurance,accuracy,0.8754,3159,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicare,insurance,accuracy,0.8668,442,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Medicaid,insurance,accuracy,0.8225,2897,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,Self-pay,insurance,accuracy,0.8321,3322,2026-05-26T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,18-30,age_group,accuracy,0.8114,1572,2026-06-01T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,31-45,age_group,accuracy,0.9069,1808,2026-06-01T16:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,46-60,age_group,accuracy,0.8645,2395,2026-06-01T16:00:00Z
