source_entity_ref,drift_type,scope,value,timestamp,status
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0725,2026-05-23T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.1134,2026-05-23T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.1079,2026-05-23T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0468,2026-05-23T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0236,2026-05-26T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0448,2026-05-26T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0009,2026-05-26T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0859,2026-05-26T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0325,2026-05-29T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0135,2026-05-29T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0111,2026-05-29T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0809,2026-05-29T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.065,2026-06-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0662,2026-06-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0796,2026-06-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.1458,2026-06-01T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0147,2026-06-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0521,2026-06-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0687,2026-06-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0755,2026-06-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0661,2026-06-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0274,2026-06-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0391,2026-06-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0992,2026-06-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0382,2026-06-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0283,2026-06-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0,2026-06-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-06-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0569,2026-06-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0356,2026-06-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.019,2026-06-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0475,2026-06-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.056,2026-06-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.043,2026-06-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0647,2026-06-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0605,2026-06-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.045,2026-06-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0444,2026-06-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0006,2026-06-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0199,2026-06-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0133,2026-06-22T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0,2026-06-22T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0,2026-06-22T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-06-22T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0726,2026-06-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0722,2026-06-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0801,2026-06-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0255,2026-06-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0557,2026-06-28T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.1405,2026-06-28T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0514,2026-06-28T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0145,2026-06-28T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0267,2026-07-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0398,2026-07-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0,2026-07-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0624,2026-07-01T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0298,2026-07-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0,2026-07-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0538,2026-07-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-07-04T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0621,2026-07-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.114,2026-07-07T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0325,2026-07-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0725,2026-07-07T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0778,2026-07-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0546,2026-07-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.1578,2026-07-10T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0614,2026-07-10T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0312,2026-07-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0361,2026-07-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0425,2026-07-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.088,2026-07-13T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0677,2026-07-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0862,2026-07-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.1005,2026-07-16T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0768,2026-07-16T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0658,2026-07-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0399,2026-07-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0118,2026-07-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0763,2026-07-19T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.1038,2026-07-22T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.1442,2026-07-22T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0688,2026-07-22T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.1735,2026-07-22T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0127,2026-07-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0001,2026-07-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0326,2026-07-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-07-25T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0381,2026-07-28T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0296,2026-07-28T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.011,2026-07-28T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-07-28T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.0583,2026-05-02T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0,2026-05-02T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.01,2026-05-02T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.0532,2026-05-02T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1061,2026-05-05T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.073,2026-05-05T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.0455,2026-05-05T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1864,2026-05-05T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.0691,2026-05-08T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.0739,2026-05-08T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.0223,2026-05-08T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.0332,2026-05-08T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1057,2026-05-11T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1288,2026-05-11T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1693,2026-05-11T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1392,2026-05-11T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1071,2026-05-14T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1383,2026-05-14T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.0556,2026-05-14T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1676,2026-05-14T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1207,2026-05-17T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1451,2026-05-17T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1506,2026-05-17T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.0467,2026-05-17T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.0933,2026-05-20T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.0999,2026-05-20T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1006,2026-05-20T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1221,2026-05-20T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1241,2026-05-23T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1149,2026-05-23T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.187,2026-05-23T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1416,2026-05-23T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1429,2026-05-26T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2027,2026-05-26T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2061,2026-05-26T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1588,2026-05-26T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1485,2026-05-29T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1618,2026-05-29T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2021,2026-05-29T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2625,2026-05-29T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1191,2026-06-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.0815,2026-06-01T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1983,2026-06-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1284,2026-06-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1374,2026-06-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1027,2026-06-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1843,2026-06-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1654,2026-06-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1922,2026-06-07T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1876,2026-06-07T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2372,2026-06-07T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2748,2026-06-07T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1293,2026-06-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.0767,2026-06-10T18:00:00Z,normal
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1429,2026-06-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1007,2026-06-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1556,2026-06-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1225,2026-06-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1482,2026-06-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1104,2026-06-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1444,2026-06-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1637,2026-06-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1506,2026-06-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1933,2026-06-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1864,2026-06-19T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2076,2026-06-19T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2241,2026-06-19T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1407,2026-06-19T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.172,2026-06-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1858,2026-06-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2188,2026-06-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2044,2026-06-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1838,2026-06-25T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1744,2026-06-25T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1963,2026-06-25T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1259,2026-06-25T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.211,2026-06-28T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2496,2026-06-28T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2574,2026-06-28T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2606,2026-06-28T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.22,2026-07-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1258,2026-07-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2312,2026-07-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1485,2026-07-01T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1869,2026-07-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1803,2026-07-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2461,2026-07-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2035,2026-07-04T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2166,2026-07-07T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.3059,2026-07-07T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2287,2026-07-07T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1691,2026-07-07T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.1901,2026-07-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.1465,2026-07-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1957,2026-07-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1131,2026-07-10T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2328,2026-07-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2482,2026-07-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.1968,2026-07-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.238,2026-07-13T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2403,2026-07-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2087,2026-07-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.277,2026-07-16T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2045,2026-07-16T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2478,2026-07-19T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.3206,2026-07-19T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2639,2026-07-19T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1841,2026-07-19T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2438,2026-07-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2478,2026-07-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2007,2026-07-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.1808,2026-07-22T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2404,2026-07-25T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.2838,2026-07-25T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2813,2026-07-25T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.3004,2026-07-25T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,overall,0.2531,2026-07-28T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:drug_interactions,0.3513,2026-07-28T18:00:00Z,critical
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:dosage_ratio,0.2108,2026-07-28T18:00:00Z,warning
mlflow://experiment-2/adverse-drug-event-detector,psi,feature:renal_function,0.2751,2026-07-28T18:00:00Z,critical
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,overall,0.1452,2026-05-02T18:00:00Z,warning
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,feature:site_capacity,0.2197,2026-05-02T18:00:00Z,warning
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,feature:protocol_complexity,0.1468,2026-05-02T18:00:00Z,warning
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,feature:disease_prevalence,0.0936,2026-05-02T18:00:00Z,normal
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,overall,0.1668,2026-05-05T18:00:00Z,warning
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,feature:site_capacity,0.1107,2026-05-05T18:00:00Z,warning
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,feature:protocol_complexity,0.1232,2026-05-05T18:00:00Z,warning
mlflow://experiment-3/clinical-trial-enrollment-pred,psi,feature:disease_prevalence,0.2132,2026-05-05T18:00:00Z,warning
