source_entity_ref,feature,importance,timestamp
mlflow://experiment-5/medical-image-anomaly-detector,prior_finding_flag,0.0214,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,admission_type,0.1805,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,diagnosis_group,0.1614,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,procedure_count,0.1559,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,age,0.1328,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,insurance_type,0.1052,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,ed_arrival,0.0853,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,acuity_score,0.0796,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,bed_availability,0.0595,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,staffing_ratio,0.0314,2026-07-31T12:00:00Z
mlflow://experiment-6/length-of-stay-predictor,day_of_week,0.0085,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,cpt_code,0.2016,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,icd10_primary,0.2011,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,modifier_count,0.1506,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,prior_auth_flag,0.1327,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,payer_type,0.0984,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,provider_specialty,0.0848,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,claim_amount,0.064,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,days_to_submit,0.0294,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,documentation_score,0.0226,2026-07-31T12:00:00Z
mlflow://experiment-7/claim-denial-risk-scorer,historic_denial_rate,0.0147,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,molecular_weight,0.1931,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,logp,0.1872,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,hbd_count,0.16,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,hba_count,0.1381,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,rotatable_bonds,0.0969,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,tpsa,0.0908,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,target_affinity,0.067,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,selectivity_score,0.0262,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,solubility,0.0232,2026-07-31T12:00:00Z
mlflow://experiment-8/drug-efficacy-predictor,bioavailability,0.0175,2026-07-31T12:00:00Z
